autoencoder,fp,lfp_unc,lfp_cte,mean_CF,std_CF
track2-MSEloss-latent8-centerimg-nocrop,188,76,185,nan,nan
track2-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,37,0,37,61.8001,82.0888
track2-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,49,6,49,39.4464,68.9563
track2-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,15,4,15,86.5554,107.3138
track2-MSEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,4,4,4,58.655,93.1473
track2-MSEloss-latent8-allimg-nocrop,171,75,171,nan,nan
track2-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,97,16,97,30.9009,63.8474
track2-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,81,4,81,21.5029,53.1576
track2-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,61,41,61,64.3863,100.6509
track2-MSEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,10,7,10,37.0259,73.0351
track2-VAEloss-latent8-centerimg-nocrop,201,90,201,nan,nan
track2-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-UNC,44,5,44,54.4815,78.7631
track2-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-UNC,25,0,25,38.4038,67.9904
track2-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-2X-CTE,4,4,4,66.1862,99.404
track2-VAEloss-latent8-centerimg-nocrop-CI-RETRAINED-JSEP-CTE,2,1,2,54.9737,89.8447
track2-VAEloss-latent8-allimg-nocrop,205,113,205,nan,nan
track2-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-UNC,82,25,82,35.579,54.55
track2-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-UNC,60,7,60,22.642,41.2147
track2-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-2X-CTE,31,23,31,45.4518,66.9692
track2-VAEloss-latent8-allimg-nocrop-CI-RETRAINED-JSEP-CTE,8,8,8,31.282,51.2865
